Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
06783,Roxbury,CT,41.557711,-73.30816,-5,1,"41.557711, -73.30816"
01152,Springfield,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
01244,Mill River,MA,42.139104,-73.20312,-5,1,"42.139104, -73.20312"
56022,Darfur,MN,44.049908,-94.83877,-6,1,"44.049908, -94.83877"
40830,Gulston,KY,36.772301,-83.33415,-5,1,"36.772301, -83.33415"
42629,Jamestown,KY,36.946642,-85.09981,-6,1,"36.946642, -85.09981"
36569,Saint Stephens,AL,31.529488,-88.06349,-6,1,"31.529488, -88.06349"
38258,Trezevant,TN,36.016599,-88.61825,-6,1,"36.016599, -88.61825"
38589,Wilder,TN,36.29017,-85.08484,-6,1,"36.29017, -85.08484"
47102,Austin,IN,38.749542,-85.80264,-5,0,"38.749542, -85.80264"
47335,Dublin,IN,39.812688,-85.204359,-5,0,"39.812688, -85.204359"
54129,Hilbert,WI,44.131149,-88.19443,-6,1,"44.131149, -88.19443"
54857,Mikana,WI,45.591546,-91.60046,-6,1,"45.591546, -91.60046"
49016,Battle Creek,MI,42.34381,-85.29136,-5,1,"42.34381, -85.29136"
58278,Thompson,ND,47.772417,-97.11074,-6,1,"47.772417, -97.11074"
58650,Regent,ND,46.405798,-102.60398,-7,1,"46.405798, -102.60398"
73655,Lone Wolf,OK,35.006152,-99.24851,-6,1,"35.006152, -99.24851"
75099,Coppell,TX,32.77103,-96.79963,-6,1,"32.77103, -96.79963"
49518,Grand Rapids,MI,43.031413,-85.550267,-5,1,"43.031413, -85.550267"
50044,Bussey,IA,41.202354,-92.88621,-6,1,"41.202354, -92.88621"
50603,Alta Vista,IA,43.191256,-92.46546,-6,1,"43.191256, -92.46546"
71720,Bearden,AR,33.733334,-92.64664,-6,1,"33.733334, -92.64664"
30149,Mount Berry,GA,34.280355,-85.182085,-5,1,"34.280355, -85.182085"
32893,Orlando,FL,28.566338,-81.260818,-5,1,"28.566338, -81.260818"
33540,Zephyrhills,FL,28.235313,-82.16868,-5,1,"28.235313, -82.16868"
38701,Greenville,MS,33.380388,-91.05187,-6,1,"33.380388, -91.05187"
39056,Clinton,MS,32.347295,-90.33224,-6,1,"32.347295, -90.33224"
44306,Akron,OH,41.046055,-81.49039,-5,1,"41.046055, -81.49039"
44320,Akron,OH,41.083155,-81.57022,-5,1,"41.083155, -81.57022"
45898,Willshire,OH,40.74011,-84.77607,-5,1,"40.74011, -84.77607"
34465,Beverly Hills,FL,28.932403,-82.47641,-5,1,"28.932403, -82.47641"
34991,Palm City,FL,27.110182,-80.454196,-5,1,"27.110182, -80.454196"
35767,Ryland,AL,34.733964,-86.522913,-6,1,"34.733964, -86.522913"
28436,Delco,NC,34.275453,-78.26673,-5,1,"34.275453, -78.26673"
29622,Anderson,SC,34.491988,-82.782868,-5,1,"34.491988, -82.782868"
02878,Tiverton,RI,41.629413,-71.18724,-5,1,"41.629413, -71.18724"
55923,Chatfield,MN,43.84113,-92.1606,-6,1,"43.84113, -92.1606"
04428,Eddington,ME,44.798289,-68.5694,-5,1,"44.798289, -68.5694"
52175,West Union,IA,42.983744,-91.81803,-6,1,"42.983744, -91.81803"
07642,Hillsdale,NJ,41.007389,-74.04247,-5,1,"41.007389, -74.04247"
52501,Ottumwa,IA,41.023872,-92.41741,-6,1,"41.023872, -92.41741"
15225,Pittsburgh,PA,40.513778,-80.13571,-5,1,"40.513778, -80.13571"
73022,Concho,OK,35.618487,-97.99188,-6,1,"35.618487, -97.99188"
15779,Torrance,PA,40.416334,-79.23317,-5,1,"40.416334, -79.23317"
70462,Springfield,LA,30.386031,-90.57297,-6,1,"30.386031, -90.57297"
12815,Brant Lake,NY,43.703484,-73.71123,-5,1,"43.703484, -73.71123"
60527,Hinsdale,IL,41.839679,-88.088716,-6,1,"41.839679, -88.088716"
61539,Kingston Mines,IL,40.558329,-89.76891,-6,1,"40.558329, -89.76891"
62046,Hamel,IL,38.889879,-89.84638,-6,1,"38.889879, -89.84638"
62088,Staunton,IL,39.011612,-89.78855,-6,1,"39.011612, -89.78855"
84629,Fairview,UT,39.701506,-111.42865,-7,1,"39.701506, -111.42865"
86515,Window Rock,AZ,35.672842,-109.06495,-7,0,"35.672842, -109.06495"
81506,Grand Junction,CO,39.106039,-108.54679,-7,1,"39.106039, -108.54679"
82310,Jeffrey City,WY,42.444748,-107.7646,-7,1,"42.444748, -107.7646"
82321,Baggs,WY,41.347337,-107.71062,-7,1,"41.347337, -107.71062"
77468,Pledger,TX,29.177817,-95.89195,-6,1,"29.177817, -95.89195"
78520,Brownsville,TX,25.928274,-97.51618,-6,1,"25.928274, -97.51618"
98116,Seattle,WA,47.57487,-122.39392,-8,1,"47.57487, -122.39392"
73648,Elk City,OK,35.26946,-99.680146,-6,1,"35.26946, -99.680146"
93615,Cutler,CA,36.506019,-119.2866,-8,1,"36.506019, -119.2866"
96777,Pahala,HI,19.226749,-155.49217,-10,0,"19.226749, -155.49217"
65453,Cuba,MO,38.092097,-91.4163,-6,1,"38.092097, -91.4163"
67464,Marquette,KS,38.590489,-97.89512,-6,1,"38.590489, -97.89512"
08102,Camden,NJ,39.949579,-75.118,-5,1,"39.949579, -75.118"
11535,Garden City,NY,40.754757,-73.601772,-5,1,"40.754757, -73.601772"
37931,Knoxville,TN,35.976063,-84.1182,-5,1,"35.976063, -84.1182"
38865,Rienzi,MS,34.774486,-88.57746,-6,1,"34.774486, -88.57746"
38960,Tie Plant,MS,33.787157,-89.821941,-6,1,"33.787157, -89.821941"
11853,Jericho,NY,40.754757,-73.601772,-5,1,"40.754757, -73.601772"
14549,Silver Lake,NY,42.692874,-78.022364,-5,1,"42.692874, -78.022364"
62707,Springfield,IL,39.757896,-89.66363,-6,1,"39.757896, -89.66363"
62881,Salem,IL,38.623789,-88.95361,-6,1,"38.623789, -88.95361"
63878,Tallapoosa,MO,36.507559,-89.81877,-6,1,"36.507559, -89.81877"
50395,Des Moines,IA,41.672687,-93.572173,-6,1,"41.672687, -93.572173"
50435,Floyd,IA,43.157144,-92.76056,-6,1,"43.157144, -92.76056"
57115,Buffalo Ridge,SD,43.521895,-96.868464,-6,1,"43.521895, -96.868464"
19944,Fenwick Island,DE,38.459314,-75.05356,-5,1,"38.459314, -75.05356"
20207,Washington,DC,38.893311,-77.014647,-5,1,"38.893311, -77.014647"
20748,Temple Hills,MD,38.822163,-76.93974,-5,1,"38.822163, -76.93974"
22124,Oakton,VA,38.88619,-77.32402,-5,1,"38.88619, -77.32402"
23124,New Kent,VA,37.545276,-77.06664,-5,1,"37.545276, -77.06664"
07607,Maywood,NJ,40.90503,-74.06279,-5,1,"40.90503, -74.06279"
15264,Pittsburgh,PA,40.434436,-80.024817,-5,1,"40.434436, -80.024817"
16939,Morris Run,PA,41.677577,-77.01677,-5,1,"41.677577, -77.01677"
17090,Shermans Dale,PA,40.332785,-77.18464,-5,1,"40.332785, -77.18464"
11758,Massapequa,NY,40.68085,-73.46289,-5,1,"40.68085, -73.46289"
11798,Wyandanch,NY,40.752098,-73.36516,-5,1,"40.752098, -73.36516"
12194,West Fulton,NY,42.529042,-74.44937,-5,1,"42.529042, -74.44937"
12922,Childwold,NY,44.224185,-74.76539,-5,1,"44.224185, -74.76539"
13825,Otego,NY,42.417489,-75.18605,-5,1,"42.417489, -75.18605"
11053,Port Washington,NY,40.754757,-73.601772,-5,1,"40.754757, -73.601772"
